,index,object,part,id,url,image,name,tags,thumbnail,objective,IC,AccessMeta,note
,,,,4225872,https://www.thingiverse.com/thing:4225872,https://cdn.thingiverse.com/assets/4f/5f/32/ba/fd/featured_preview_IMG_5719.JPEG,"Hands-free door handle (Coronavirus prevention)",,,,14 handle__lever,actuation-operation,
,0,door,general,200571,https://www.thingiverse.com/thing:200571,https://cdn.thingiverse.com/renders/f2/7e/d3/18/81/Picture_4_small_preview_card.jpg,Optimized Nonlethal Door Stop Multitool,"door, doorstop, door stop, stop, stopper",,safety,door,constraint,
,,door,general,891278,https://www.thingiverse.com/thing:891278,https://cdn.thingiverse.com/renders/25/85/bd/64/a4/apart_preview_card.jpg,Door Catch,"door, door catch",,lock,door,constraint,
,,door,general,4734183,https://www.thingiverse.com/thing:4734183,https://cdn.thingiverse.com/assets/3b/43/f7/dd/df/card_preview_DoorHolder.jpg,Door Holder Clamp,"clamp, door, Door Clamp, door holder, holder",,lock,door,constraint,
,,door,knob:lever,4192643,https://www.thingiverse.com/thing:4192643,https://cdn.thingiverse.com/assets/68/e4/cf/49/d7/card_preview_Photo-2020-03-03-07-57-15_9752.JPG,"Savegrabber - open door without touching the handle, (dont forget to donate;-)) press knobs without touching - additional barrier for the coronavirus and other  germs","NoTouchChallenge, Corona, coronavirus, coronavirus defend, Covid, covid-19, COVID19, door, door handle, pandemic, SARS, SARS-CoV-2, secure, Touch, virus",,contact-free,14 handle__lever,constraint,
,,door,knob:round,1094505,https://www.thingiverse.com/thing:1094505,https://cdn.thingiverse.com/renders/68/94/7d/e7/dc/20151026_191242_HDR_preview_card.jpg,E Z Open Door Lever Adaptor,AssistiveTech,,motor,16 knob__rotate_round,actuation-operation,
,,door,knob:round,1095439,https://www.thingiverse.com/thing:1095439,https://cdn.thingiverse.com/renders/1d/1f/3a/cb/3e/20151027_112149_preview_card.jpg,Doorknob Levers,"AssistiveTech, doorknob, door handle",,motor,16 knob__rotate_round,actuation-operation,
,1,cupboard,general,28037,https://www.thingiverse.com/thing:28037,https://cdn.thingiverse.com/renders/2a/3b/bd/5d/4e/mylock_preview_card.jpg,Child safety lock for cabinet/cupboard,"baby, cabinet, cupboard, latch, Lock, Safety",,constraint,"cabinet, cupboard",constraint,
,,cupboard,"knob:round, knob:none",1228617,https://www.thingiverse.com/thing:1228617,https://cdn.thingiverse.com/renders/83/90/3b/61/0c/fdb37c1d7cf2f2f2ac1c850a80a12ed4_preview_card.jpg,Handle,"door, drawer, furniture",,motor,"door, drawer, cabinet",actuation-operation,
,,cupboard,knob,2320880,https://www.thingiverse.com/thing:2320880,https://cdn.thingiverse.com/renders/1a/5f/c2/b8/0a/3cd8926699ca33b35c4b212e764e1f9b_preview_card.jpg,Cupboard Door Lock - Baby proof,"babyproofing, childproof, child proofing, child safety",,constraint,17 knob__static,constraint,
,,cupboard,knob,2365101,https://www.thingiverse.com/thing:2365101,https://cdn.thingiverse.com/renders/74/67/3d/8d/34/89ba6c31a008c0b2c90bfe220d134755_preview_card.jpg,Cupboard safety child lock,"child lock, child safety, children safety, cupboard lock",,constraint,17 knob__static,constraint,
,,cupboard,"knob:round, knob:none",976006,https://www.thingiverse.com/thing:976006,https://cdn.thingiverse.com/renders/40/25/40/a5/e3/Hadles_preview_card.jpg,Kitchen/Bedroom Unit Handles,"cupboard, drawer, handle, kitchen, knob",,motor,"door, drawer, cabinet",actuation-operation,
,,cupboard,knob:none,36650,https://www.thingiverse.com/thing:36650,https://cdn.thingiverse.com/renders/ec/30/e2/26/61/IMG_1795_preview_card.jpg,Cupboard Knob,,,motor,17 knob__static,constraint,
,2,bottle,type:jar,3198907,https://www.thingiverse.com/thing:3198907,https://cdn.thingiverse.com/renders/de/d8/4a/bc/7a/808daa6ff9fed79084f3ac01d08b0826_preview_card.jpg,Jar Opener,,,motor,jar,actuation-operation,
,,bottle,type:jar,4877138,https://www.thingiverse.com/thing:4877138,https://cdn.thingiverse.com/assets/c2/67/7c/a3/43/card_preview_Screenshot_2021-06-03_175616.png,Jar opener - any size,"functional, jar, kitchen, kitchen tool, mason jar, opener, useful",,motor,jar,actuation-operation,
,,bottle,type:paper_pack,3303124,https://www.thingiverse.com/thing:3303124,https://cdn.thingiverse.com/assets/19/da/75/50/94/card_preview_IMG_2169.jpg,MIlkPackOpener,"assistive, assistive device, assistive technology, milk bottle, Milk carton, occupational therapy, self help devices",,motor,milk_pack,actuation-operation,
,,bottle,type:spray,2240803,https://www.thingiverse.com/thing:2240803,https://cdn.thingiverse.com/renders/62/10/2c/76/9e/d00d3b8e0eb0d4ded8df16f34d21fec8_preview_card.jpg,Deodorant Spray Can - Assistive Device,,,motor,bottle_spray,actuation-operation,
,,bottle,cap:metal,269463,https://www.thingiverse.com/thing:269463,https://cdn.thingiverse.com/renders/39/2c/d9/ae/5e/IMG_8993_preview_card.jpg,Smart One Handed Bottle Opener,"bottle, bottleopener, bottle opener, cool, gadget, grab, handed, kitchen, one, open, opener, tool",,motor,bottle_metal_cap,actuation-operation,
